"Department","Position","Name","Firstname","Lastname","coursename"
"Epidemiology","Associate Professor","Tao, Grant","Grant","Tao",NA
"Biostatistics","Professor","Tarwater, Patrick M.","Patrick M.","Tarwater","140.620.11 Advanced Data Analysis Workshop"
"Biostatistics","Assistant Scientist","Taub, Margaret","Margaret","Taub",NA
"Health Policy and Management","Associate Professor","Taylor, Holly A.","Holly A.","Taylor","306.861.01 Graduate Doctoral Seminar in Bioethics, 306.625.01 Ethical Issues in Health Policy: Public Health and Health Care, 306.861.01 Graduate Doctoral Seminar in Bioethics, 306.861.01 Graduate Doctoral Seminar in Bioethics, 306.861.01 Graduate Doctoral Seminar in Bioethics, 306.601.01 Introduction to Bioethics in Public Health Practice and Research"
"Environmental Health and Engineering","Assistant Professor","Tellez-Plaza, Maria","Maria","Tellez-Plaza",NA
"Health Policy and Management","Professor","Teret, Stephen P.","Stephen P.","Teret","306.865.01 Clinic for Public Health Law and Policy"
"Environmental Health and Engineering","Professor","Terry, Peter","Peter","Terry",NA
"Epidemiology","Associate Professor","Thiemann, David R.","David R.","Thiemann",NA
"Molecular Microbiology and Immunology","Associate Professor","Thio, Chloe Lynne","Chloe Lynne","Thio",NA
"Epidemiology","Professor","Thomas, David L.","David L.","Thomas",NA
"Biostatistics","Associate Scientist","Thompson, Carol B.","Carol B.","Thompson","140.643.01 Practice of Statistical Consulting"
"Health Policy and Management","Assistant Professor","Thompson, David A.","David A.","Thompson",NA
"Biostatistics","Senior Scientist","Thompson, Richard E.","Richard E.","Thompson","140.613.11 Data Analysis Workshop I, 140.614.11 Data Analysis Workshop II, 140.613.13 Data Analysis Workshop I, 140.614.13 Data Analysis Workshop II"
"Environmental Health and Engineering","Assistant Professor","Thorne, Craig D.","Craig D.","Thorne",NA
"Epidemiology","Associate Professor","Thorne, Jennifer E.","Jennifer E.","Thorne",NA
"International Health","Associate Scientist","Thorne-Lyman, Andrew L.","Andrew L.","Thorne-Lyman","222.649.01 International Nutrition"
"Health, Behavior and Society","Assistant Professor","Thornton, Rachel L. Johnson","Rachel L. Johnson","Thornton",NA
"Health, Behavior and Society","Associate Professor","Thorpe, Jr., Roland J.","Jr.","Thorpe","410.864.01 Critical Issues in Health Disparities, 410.615.01 Research Design in the Social and Behavioral Sciences, 410.864.01 Critical Issues in Health Disparities, 410.864.01 Critical Issues in Health Disparities, 410.864.01 Critical Issues in Health Disparities, 309.716.01 Advanced Methods in Health Services Research: Analysis, 301.615.01 Seminar in Health Disparities"
"Mental Health","Assistant Professor","Thrul, Johannes","Johannes","Thrul",NA
"Molecular Microbiology and Immunology","Senior Scientist","Thuma, Philip E.","Philip E.","Thuma",NA
"International Health","Professor","Tielsch, James","James","Tielsch",NA
"Epidemiology","Assistant Scientist","Tin, Adrienne","Adrienne","Tin","700.603.01 Introduction to Ethical Theory, 700.840.01 Bioethics Program Independent Study, 700.840.01 Bioethics Program Independent Study, 700.840.01 Bioethics Program Independent Study, 700.840.01 Bioethics Program Independent Study, 700.840.01 Bioethics Program Independent Study, 700.840.13 Bioethics Program Independent Study, 120.850.01 Biochemical Techniques, 120.852.01 Core Research Literature, 120.626.01 Principles of Cell Biology, 120.850.01 Biochemical Techniques, 120.852.01 Core Research Literature, 120.613.01 Nucleic Acid Chemistry, 120.850.01 Biochemical Techniques, 120.852.01 Core Research Literature, 120.850.01 Biochemical Techniques, 120.852.01 Core Research Literature, 120.853.01 Summer Biochemical Techniques, 140.646.01 Essentials of Probability and Statistical Inference I: Probability, 140.755.01 Advanced Methods in Biostatistics V, 140.776.01 Statistical Computing, 140.622.01 Statistical Methods in Public Health II, 140.622.02 Statistical Methods in Public Health II, 140.630.01 Introduction to Data Management, 140.658.01 Statistics for Psychosocial Research: Structural Models, 140.623.01 Statistical Methods in Public Health III, 140.623.02 Statistical Methods in Public Health III, 140.648.01 Essentials of Probability and Statistical Inference III: Theory of Modern Statistical Methods, 140.664.01 Causal Inference in Medicine and Public Health I, 140.630.01 Introduction to Data Management, 140.632.01 Introduction to the SAS Statistical Package, 140.632.02 Introduction to the SAS Statistical Package, 140.649.01 Essentials of Probability and Statistical Inference IV, 140.654.01 Methods in Biostatistics IV, 140.664.81 Causal Inference in Medicine and Public Health I, 140.665.01 Causal Inference in Medicine and Public Health II, 140.699.01 Spatial Analysis IV: Spatial Design and Application, 140.607.11 Multilevel Models, 140.678.11 Biostatistics Analysis of Epidemiologic Data III, 390.673.01 Ethical and Regulatory Issues in Clinical Research, 390.721.01 Principles of Grant Writing I, 390.675.01 Outcomes and Effectiveness Research, 390.722.01 Principles of Grant Writing II, 180.880.01 Special Studies in Environmental Health/Community Outreach, 180.636.01 Human Rights and Health Seminar, 180.880.01 Special Studies in Environmental Health/Community Outreach, 180.602.01 Environment and Health in Low and Middle Income Countries, 180.880.01 Special Studies in Environmental Health/Community Outreach, 182.640.01 Food and Water Borne Diseases, 180.608.01 Public Health Responses to Environmental Incidents and Disasters, 180.880.01 Special Studies in Environmental Health/Community Outreach, 182.622.01 Ventilation Controls, 182.638.01 Environmental and Health Concerns in Water Use and Reuse, 187.650.81 Alternative Methods in Animal Testing, 188.681.01 Occupational Health, 180.604.11 Public Health Preparedness: Systematic Planning for An Unpredictable World, 340.645.81 Introduction to Clinical Trials, 340.660.01 Practical Skills in Conducting Research in Clinical Epidemiology and Investigation, 340.696.01 Spatial Analysis I: ArcGIS, 340.728.01 Advanced Methods for Design and Analysis of Cohort Studies, 340.751.01 Epidemiologic Methods 1, 340.601.94 Principles of Epidemiology, 340.620.01 Principles of Clinical Epidemiology, 340.641.01 Healthcare Epidemiology, 340.645.01 Introduction to Clinical Trials, 340.682.81 Pharmacoepidemiology Methods, 340.697.01 Spatial Analysis II: Spatial Data Technologies, 340.770.01 Public Health Surveillance, 340.606.01 Systematic Reviews and Meta-Analysis, 340.684.01 Pharmacoepidemiology: Drug Utilization, 340.684.81 Pharmacoepidemiology: Drug Utilization, 340.733.01 Principles of Genetic Epidemiology 3, 340.769.01 Professional Epidemiology Methods, 340.644.01 Epidemiology of Diabetes and Obesity, 340.648.01 Clinical Trials Management, 340.653.01 Epidemiologic Inference in Outbreak Investigations, 340.664.01 Epidemiologic Practice Methods for Population Health Research, 340.677.01 Infectious Disease Dynamics: Theoretical and Computational Approaches, 340.734.01 Principles of Genetic Epidemiology 4, 340.601.01 Principles of Epidemiology, 340.601.11 Principles of Epidemiology, 340.601.93 Principles of Epidemiology, 340.613.11 Design and Conduct of Clinical Trials, 340.614.11 Conducting Epidemiologic Research, 340.636.11 Epidemiology in Evidence-Based Policy, 340.644.11 Epidemiology of Diabetes and Obesity, 340.650.11 Nutritional Epidemiology (Sum Epi), 340.671.11 Topics in Management of Clinical Trials, 340.674.11 Comparative Effectiveness Research: Emulating a Target Trial Using Observational Data, 340.676.11 Bayesian Adaptive Trials, 340.686.11 Introduction to Systematic Reviews and Meta-Analysis, 340.693.11 Investigation of Outbreaks, 340.709.11 Advanced Methods in Observational Studies: Inference, 340.663.13 Epidemiology Workshop: Interpreting and Using Epidemiologic Evidence, 410.641.67 Implementation and Evaluation for Tobacco Control, 410.870.01 HBS Research and Proposal Writing Process for Doctoral Students I, 410.871.01 HBS Research and Proposal Writing Process for Doctoral Students II, 415.651.92 Facilitating Family Adaptation to Loss and Disability II, 410.610.01 Health and Homelessness, 410.651.01 Health Literacy: Challenges and Strategies for Effective Communication, 410.654.01 Health Communication Programs I: Planning and Strategic Design, 410.672.81 Introduction to Campaigning & Organizing for Public Health, 410.721.01 Translating Research Into Public Health Programs I, 410.655.01 Health Communication Programs II: Implementation and Evaluation, 410.660.01 Latino Health: Measures and Predictors, 410.663.01 Media Advocacy and Public Health: Theory and Practice, 410.682.01 Integrating Children's Mental Health and Primary Care: a Social and Behavioral Science Perspective, 410.685.01 Data Analysis and Presentation in Social and Behavioral Sciences Research, 410.722.01 Translating Research Into Public Health Programs II, 415.619.92 New Genetic Technologies and Public Policy, 415.650.92 Facilitating Family Adaptation to Loss and Disability I, 410.672.81 Introduction to Campaigning & Organizing for Public Health, 300.731.01 Policy Communications: Reading, Writing and Talking About Policy, 305.610.01 Issues in Injury and Violence Prevention, 309.600.81 Evaluating Quality Improvement and Patient Safety Programs, 309.716.01 Advanced Methods in Health Services Research: Analysis, 309.861.01 Graduate Seminar in Health Services Research and Policy, 311.615.81 Quality of Medical Care, 311.861.01 Graduate Seminar in Health Care Management and Leadership, 312.603.81 Fundamentals of Budgeting and Financial Management, 319.602.94 Project Management and Evaluation, 319.603.94 Strategic Management, 319.608.94 Finance Management, Accounting and Budgeting, 300.603.98 The Tools of Public Health Practice and Decision Making, 300.712.01 Formulating Policy: Strategies and Systems of Policymaking in the 21St Century, 300.712.02 Formulating Policy: Strategies and Systems of Policymaking in the 21St Century, 300.722.01 Foundations in Health Policy II, 301.615.01 Seminar in Health Disparities, 305.607.01 Public Health Practice, 309.631.81 Population Health Informatics, 309.670.01 Comparative Health Insurance, 309.715.01 Advanced Methods in Health Services Research: Research Design, 309.861.01 Graduate Seminar in Health Services Research and Policy, 311.861.01 Graduate Seminar in Health Care Management and Leadership, 312.603.81 Fundamentals of Budgeting and Financial Management, 315.700.81 Health Information Systems: Design to Deployment, 317.610.01 Risk Policy, Management and Communication, 318.623.01 Social Policy for Vulnerable Populations in the U.S., 318.864.98 Current Issues in Policy Analysis, 300.750.01 Educational Leadership, 300.750.81 Teaching, Learning and Leading – in the Classroom, in the Workplace and in the Community, 305.613.01 Evaluation-Informed Program Development and Implementation, 306.865.01 Clinic for Public Health Law and Policy, 309.730.81 Patient Safety and Medical Errors, 309.861.01 Graduate Seminar in Health Services Research and Policy, 311.861.01 Graduate Seminar in Health Care Management and Leadership, 312.603.81 Fundamentals of Budgeting and Financial Management, 312.675.60 Medical Practice Management, 312.678.01 Introduction to Healthcare Quality and Patient Safety: a Management Perspective, 318.864.01 Current Issues in Policy Analysis, 300.652.01 Politics of Health Policy, 301.645.01 Health Advocacy, 305.607.81 Public Health Practice, 309.720.01 Applied Econometrics for Health Policy Research, 309.861.01 Graduate Seminar in Health Services Research and Policy, 311.861.01 Graduate Seminar in Health Care Management and Leadership, 312.603.81 Fundamentals of Budgeting and Financial Management, 312.635.01 Human Resources in Health Organizations, 312.635.20 Human Resources in Health Organizations, 312.670.01 Negotiation in Health Care Settings, 317.610.81 Risk Policy, Management and Communication, 319.606.94 Health Economics and Cost Effectiveness, 305.865.11 Advanced Seminar in Injury Prevention, 312.603.11 Fundamentals of Budgeting and Financial Management, 312.635.11 Human Resources in Health Organizations, 312.660.11 Marketing in Health Care Organizations, 312.670.11 Negotiation in Health Care Settings, 301.771.13 Case Studies in Communicating With the Media, 301.771.51 Case Studies in Communicating With the Media, 309.600.13 Evaluating Quality Improvement and Patient Safety Programs, 312.603.93 Fundamentals of Budgeting and Financial Management, 312.670.20 Negotiation in Health Care Settings, 221.602.60 Applications in Managing Health Organizations in Low and Middle Income Countries, 221.602.62 Applications in Managing Health Organizations in Low and Middle Income Countries, 221.861.01 Doctoral Seminar in Health Systems, 222.641.60 Principles of Human Nutrition in Public Health, 224.860.01 Social and Behavioral Interventions Program Seminar I:Applied Social Science & Global Health, 221.614.01 International Political Science for PH Practitioners, 221.637.81 Health Information Systems, 221.639.01 Health Care in Humanitarian Emergencies, 221.639.81 Health Care in Humanitarian Emergencies, 221.645.01 Large-Scale Effectiveness Evaluations of Health Programs, 221.861.01 Doctoral Seminar in Health Systems, 223.662.01 Vaccine Development and Application, 223.662.81 Vaccine Development and Application, 224.689.01 Health Behavior Change at the Individual, Household and Community Levels, 224.697.01 Qualitative Research Practicum I: Partnerships and Protocol Development, 224.864.01 Doctoral Seminar in Research Methods in Applied Medical Anthropology II, 221.604.01 Case Studies in Management Decision-Making, 221.631.81 Evaluation Methods for Injury Interventions, 221.634.01 Stress Management for Relief Workers, 221.638.01 Health Systems Research and Evaluation in Developing Countries, 221.649.81 Introduction to Digital Health in Low and Middle-Income Countries, 221.861.01 Doctoral Seminar in Health Systems, 222.647.01 Nutrition Epidemiology, 223.687.01 Vaccine Policy Issues, 224.694.01 Mental Health Intervention Programming in Low and Middle-Income Countries, 224.862.01 Social and Behavioral Interventions Program Seminar III: Intervention Case Studies, 221.620.01 Applying Summary Measures of Population Health to Improve Health Systems, 221.642.01 Mental Health Aspects of Disaster: Public Health Preparedness and Response, 221.644.01 Econometric Methods for Evaluation of Health Programs, 221.645.81 Large-Scale Effectiveness Evaluations of Health Programs, 221.861.01 Doctoral Seminar in Health Systems, 222.652.81 Nutrition in Disease Treatment and Prevention, 222.653.01 Food Technology and Health, 222.661.01 Designing Healthy Diets, 224.692.01 Formative Research for Behavioral and Community Interventions, 221.606.81 Training Methods and Continuing Education for Health Workers, 221.615.11 Health Emergencies in Large Populations (H.E.L.P.), 221.625.11 Evaluation Plans for Primary Health Care Projects in Low and Middle Income Settings: Evaluating Adequacy of District Level Implementation, 221.705.11 Monitoring and Evaluation of Health Systems Strengthening in Low and Middle Income Countries, 221.711.11 Managing District Health Systems in Low and Middle Income Countries, 223.685.11 Tuberculosis, HIV and Other Chronic Infections in the Tropics, 221.615.13 Health Emergencies in Large Populations (H.E.L.P.), 330.601.81 Perspectives of Psychiatry: the Public Health Framework, 330.620.01 Issues in Mental Health Research in Developing Countries, 330.660.01 Grant Writing for the Social and Behavioral Sciences, 330.620.81 Issues in Mental Health Research in Developing Countries, 330.667.01 Mental Health and the Law, 330.624.11 Applied Power Analysis for the Behavioral Sciences, 330.626.11 Estimating the Effects of Mental Health Interventions in Non-Experimental Settings, 330.626.89 Estimating the Effects of Mental Health Interventions in Non-Experimental Settings, 330.632.11 Grant Writing: NIH and Other Funding Sources, 330.647.11 Childhood Victimization: An Overview of Public Health Efforts, 330.658.89 Mental Health and Psychosocial Support in International Humanitarian Settings, 260.851.01 Laboratory Rotations, 260.852.01 Molecular Biology Literature, 260.851.01 Laboratory Rotations, 260.851.01 Laboratory Rotations, 260.851.01 Laboratory Rotations, 260.851.01 Laboratory Rotations, 600.712.86 Public Health Statistics II, 601.731.86 Spatial Analysis for Public Health, 601.732.86 Spatial Data Technologies for Mapping, 601.932.86 Spatial Analysis Lab 2, 601.733.86 Applied Spatial Statistics, 601.805.86 Spatial Analysis Journal Club, 601.734.86 Spatial Applications, 601.931.86 Spatial Analysis Lab 1, 380.604.01 Life Course Perspectives On Health, 380.604.81 Life Course Perspectives On Health, 380.681.01 Strategic Leadership Principles and Tools for Health System Transformation in Developing Countries, 380.611.01 Fundamentals of Program Evaluation, 380.623.81 Adolescent Health and Development, 380.625.01 Attitudes, Programs, and Policies for Children With Special Health Care Needs, 380.650.01 Fundamentals of Life Tables, 380.761.01 Sexually Transmitted Infections in Public Health Practice, 380.822.01 PFRH First Year Doctoral Seminar, 380.616.01 Child Health Epidemiology, 380.697.01 Health and Wellbeing of the Urban Poor: Labor Markets, Safety Nets, and the Criminal Justice System, 380.758.81 Demographic Estimation for Developing Countries, 380.761.81 Sexually Transmitted Infections in Public Health Practice, 380.762.81 HIV Infection in Women, Children, and Adolescents, 380.822.01 PFRH First Year Doctoral Seminar, 550.860.82 Academic & Research Ethics at JHSPH, 551.895.01 Source Practicum Special Studies, 550.860.82 Academic & Research Ethics at JHSPH, 550.865.81 Public Health Perspectives On Research, 551.895.01 Source Practicum Special Studies, 550.860.82 Academic & Research Ethics at JHSPH, 551.895.01 Source Practicum Special Studies, 550.860.82 Academic & Research Ethics at JHSPH, 551.895.01 Source Practicum Special Studies, 550.860.82 Academic & Research Ethics at JHSPH, 550.860.82 Academic & Research Ethics at JHSPH, 550.860.82 Academic & Research Ethics at JHSPH"
